chinese_text,attitude,isLongText
麒麟990系列已经正式发布，首款搭载这颗Soc的机型将会华为的Mate30系列，不过今年麒麟990和以往不同，总共分为两个版本，分为990标准版（4G），和990 5G两个，前者和980一样采用7nm工艺，后者则是最新的7nm+ EUV工艺，并且集成了5G基带。 ,1,0
这手机夜拍根本就不行想换mate30 镇江·西津渡古街 ,1,0
【快码住这份“团圆险”🎁】团圆时刻，与家人共享温暖[憧憬][憧憬]奥普浴霸取暖超快，替你照顾家人！[酷]转发+带话题从宫里吹出来的国潮暖风聊聊你眼中的奥普浴霸，@三个好友，9.25抽1名粉丝送份团圆险（华为mate30 & 宫系列浴霸）[鼓掌][鼓掌]用浴霸手机拍浴霸，把“广寒宫”都吹暖和的奥普宫系列浴霸！[太阳][太阳],1,1
我尽力了，迫切需要一台p30或者mate30 ,1,0
华为接下来发布的年度旗舰mate30 pro起售应该和iphone 11差不多，但是mate30 pro有更好的相机、更优秀的续航以及更大的内存，同时还有华为方舟编译和麒麟990加持，还有5G…你说这个时候还买iphone是不是傻？设计还那么难看，不要拿ios来说事，鸿蒙os这个大杀器还没放出来了呢。 ,1,0
网友吐槽：①小米MIX4 5G惊现某平台预约②小米MIX4拥有亿级像素镜头+超广角+潜望镜头③雷军给出的密码你猜到了吗？是9月24日还是十月。。。9月19日华为将发布拥有全球首款集成5G旗舰芯片麒麟990的Mate30系列，到时候你是选择小米还是华为5G手机？爆个机事吧超话 ,0,0
如果mate30 pro长这样的话 我🉑还是无法忍受X内存不够用 ,1,0
回复@转w身z寻y你://@转w身z寻y你:期待一下九月十九日的mate30吧哈哈//@牛春宝:夜景拍摄，华为反超苹果。而最新发布的苹果11意在反超华为,1,0
9·19德国🇩🇪慕尼黑，不见不散❤️华为华为Mate30@华为手机 @华为终端官方微博 哈尔滨·哈尔滨太平国际机场 ,1,0
科技 疑似Mate30 MIX4真机照曝光，是你们期待的安卓旗舰吗 科技带你走进生活的微博视频 ,1,0
iPhone发布后旧款出问题华为mate30手机9月19日首发 华为与苹果的新机之争，在舆论造势中，华为明显更胜一筹。国机华为的营销能力确实强悍 ,1,0
这张图从@余承东  的微博扒来的，据说是华为 Mate30 拍的的样张 ,1,0
这手机为啥还不卡，冒充mate30这么长时间了，真的mate30都要出来了它还没卡，让我怎么买真的。 ,1,0
华为数码 《华为Mate20、P30和iPhone 11，都是5000+了，你会怎么选？等Mate30》 五月数码科技  华为Mate20、P30和iPhone 11，都是5000+了，你会怎么选？等Mate30 ,1,0
问一个问题，华为Mate30 Pro支持的5G、小米MIX4的1.08亿像素、iPhone11的A13处理器、OPPO Reno Ace的65W超级快充，谁对你更具有吸引力？ ,0,0
很多人可能对5G的感知错了，微博现在又充斥着不成熟，无用论。买个支持sa的5g手机应该两三年不会落伍而买个4g，明年5g都铺开了。用极端的地方举例，有些村庄还没4g呢，难道4g也无用？5g华为Mate30 ,1,0
国外数码大V近日曝光了华为mate30。从曝光的图片上看：即将发布的华为Mate30确定无疑将会采用后置五摄的方案，第五颗摄像头是左上角闪光灯下面一个疑似是ToF的镜头。屏幕很有可能瀑布屏的设计，看图中mate30颜值 你们觉得1-10可以打几分？数码手机华为华为手机华为Mate30 ,1,0
有些手机是注定大卖的，比如vivo X27，比如iPhone 11，比如华为mate30 Pro。。。真的，一款产品能不能卖好真的不完全看做得怎么样和有没有创造力，其他因素也很关键。（当然这几款产品确实还是优秀的。） ,1,0
华为Mate30一触即发，激活巨大能量！ Rethinkpossibilities 余承东的微博视频 ,1,0
等一个mate30，四年半换六机 ,1,0
小米新媒体总监陆柒柒做了一个红米Note 8 Pro跟荣耀9X的高空跌落测试，雷军表示“太虐了”。华为Mate30都要发布了，小米从上到下还在拿红米Note 8 Pro去怼荣耀9X，足见荣耀9X带给小米的伤害有多大，还不知道谁更虐心呢。。以前红米手机都是同价位性能领先至少不落后，现在荣耀9X一个麒麟810，直接导致红米手机的核心竞争力被削弱了。,1,1
小米保密做得挺好啊，MIX4到现在连啥方案都不知道，隔壁华为Mate30的信息都快曝光完了 ,0,0
华为5G手机Mate30麻溜的出来   我要换手机了     南昌 · 南昌县 ,1,0
话说还没等mate30发布，v30的消息就已经出来了，这速度太快了吧，消费者（土豪除外）的钱包虚了，跟不上这节奏啊 ,0,0
随着前些天苹果发布会的召开，iPhone 11系列也如之前曝光的那样并没有带来多少创新，而且关键还没有5G。尤其是其后置摄像头模组的样式，不得不让人联想到华为去年发布的Mate20系列，难道苹果已经创新缺乏到只能抄袭华为的上一代产品了吗？  iPhone新机创新未达预期？华为Mate30系列更值得期待 ,1,0
路边社可靠消息:小米MIX4在9月24日发布，又抢在了华为Mate30国内发布会前！ 南昌 ,0,0
华为mate30超话官方内幕，我还是喜欢它的摄像头设计 ,1,0
华为Mate30 一天都有好几个版本，这个参数大家看一下是真是假？ ,0,0
mate系列（自mate7以后吧，因为2013年出的mate及其后一路到mate6，我也只是耳闻），是隔年的换代。具体来说就是，mate 7是开创性的，mate8就小改款而已。mate9也是大进步，mate10旧打酱油。现在mate20很成功（据说），因此mate30可能会有些令人失望。师母已呆。,1,0
对，要是我肯定也是买华为Mate30！几年前我就用国产手机，打给国产手机的电话，都不会有打不进去的事情发生！但是打给使用苹果手机亲戚，电话就有时会打不进，在中等信号的地段都会出现沙沙、嘟嘟、忙音能把人急疯。经过观察了多台苹果手机，发现苹果手机普遍都拥有这种烂象！前几年开始就果断地放弃购买苹果手机的念头。一直购买华为手机使用，至今家人拥有七八台华为手机，互相通话都非常流畅，没有苹果手机的那种烂象。《机皇对决！当iPhone11遇上华为Mate30，胜负一目了然》而在iPhone11发布前夕，老对手华为抢先放出一段华为Mate30新机预热视频，其中透露出了不少关键信息。,1,1
提前3天vivo NEX3狙击华为Mate30。华为Mate30是浴霸四摄，vivo NEX3是浴霸三摄。华为Mate30 5G版采用麒麟990 5G SoC，这5G技术厉害了，不用挂载5G芯片balong 5000了，而是麒麟990直接支持5G网络，而vivo NEX3搭载的是骁龙855 Plus芯片，需要挂载高通X50，才能实现5G上网功能。 ,1,0
vivo NEX3 的后置镜头的确也采用了类似于华为mate30 的奥利奥设计，当然这部手机也加入了曲面屏和无孔元素，看来以后的旗舰机曲屏应该会成为主流，你喜欢曲屏么？ ,0,0
据推特网友爆料，在Geekbench跑分网站上，出现一款华为新机。信息显示这款手机搭载麒麟990处理器。这款华为新机型号为“HUAWEI NLE-AL00”，但是型号跟Mate30/Mate30 Pro对不上，暂时不知道是什么机型。 ,0,0
《华为打造无美供应商！特朗普反应让美企急了，来华建超级大厂》而且这不是说说而已，这一战略已在华为最新旗舰——华为Mate30上实行了。网页链接 ,1,0
数码 数码[超话]HUAWEI华为Mate30手机麒麟990 GeekBench跑分。单、多核成绩都略微领先高通骁龙855+。频率略高的麒麟990 5G应该会跑分更高一点。华为这几年，手机芯片很巧妙地利用差代对比技巧，不跟你一块发布，争取提前俩三月发布和你上代比，其实应该跟接下来的骁龙865比，他们才是20年长期共存的对手，由于没用A77大核和GPU劣势，利用时间差保持两三个月领先，又会被骁龙865大幅狂虐大半年，这几年基本都是这样。要加油啊，万一高通把这个时间差给赶过来，就危险了华为mate30,1,1
《影像拍摄升级，华为Mate30高速摄影留住瞬间之美》根据目前曝光的信息，Mate30系列在保证顶级拍照性能的同时，在视频拍摄方面似乎也别具新意。网页链接 ,1,0
华为 苹果 三星 该怎么选？预算一万。用两年左右选华为Mate30 Pro用一年选iPhone 11 Pro Max（不支持5G）等不了的选三星Note10系列 5G版本行长的每日一乐 ,1,0
10倍焦距能拍出这种景色，也只有华为能办到了！实力吹捧～我这种手残党也能完成的美照，相信MATE30更厉害！期待～祝各位中秋节快乐！爱上拍照，从换一部华为手机开始 ,1,0
网友投稿：小米自带浏览器，搜索引擎是度，搜索iPhone 11出来，第一顺位是华为Mate30。我试了一下果然真是。又搜索了其他品牌，有的也如是，这是怎么回事？ ,0,0
这几天在网上看到很多数落新iPhone不支持5g以及对应的苹果💊言论。作为一个果粉，我想说说一说自己的看法，5G手机现在除了即将到来的mate30，都是外挂的巴龙5000或者高通x55等基带。说到外挂基带，很多人会说果家近几代手机还不是外挂了Intel的基带，这大部分归因于商业纠纷，无关乎4G通信技术。截止今日尚无一款使用集成5g基带芯片的手机上市，虽然那一天大约就在19号。除了技术本身尚未成熟，适用于5g的应用也没有上市，就像那位何同学所言，测速应该是5G最无聊的应用....另外中国虽然5g建设进程已领跑全球，但是目前处于地区不均衡状态，我念书的大城市覆盖了很多区域了，学校里移动电信覆盖校园，但是我那三四线城市的家乡基本一个5g信号基站都没有。大众使用的科技产品应该追求的是稳定，而不是超前吧。所以我觉得用不支持5g就断定一个公司的没落太过草率，反而在技术成熟时提供给消费者，才是顺应时势，顺之者昌！记得高中时，一个妹子用的是Nokia很古早的一款手机，黑白屏却支持3g网络，这个支持意义何在呢？如图（来源知乎，侵删）的历史，可堪殷鉴。执念于对技术的打磨而不是冒进，或许是苹果这家公司的魅力所在吧～以上,-1,1
华为Mate30一触即发，朋友们猜到是什么功能了吗？Rethinkpossibilities 华为手机官方的秒拍视频 ,1,0
吹爆HUAWEI 坐等mate30华为Mate30 海口 ,1,0
"IPhone11 Pro Max放在购物车里又清空，来来回回好几次。想想不支持5G明年还得再换 iPhone,忍痛今年不换算了。920抢两台华为 mate30 pro孝敬父母吧…… ",1,0
华为Mate30 Pro详细参数全曝光，看起来很能打的样子 ,1,0
华为正式发布鸿蒙超话 预示延迟拍摄吗？🤔华为mate30 华为终端官方微博的微博视频 ,1,0
哎，发现我与航拍上海无缘；今天原本计划去北外滩航拍，人都到了，位置也找好了，时间点刚刚好，正好晚霞时分的浦东和浦西；结果遥控器电量零，白忙乎，只能回来跑步；在想着要不要回去洗完澡去天台用单反和三脚架拍月亮，但总觉得索然无味，罢了罢了；就这样吧，中秋快乐；赶紧发布mate30吧，6s要扛不住了。 ,0,1
华为mate30 这是暗示无线充电？还是会变色的机身？难不成是卖手机还送宠物？ 德州 进击的锅包肉儿的微博视频 ,1,0
啥也不说了蹲个华为Mate30德国9月19首发 ,1,0
华为官方发布的Mate30预热视频，这支箭和这个环让我莫名的想起了饥饿游戏华为终端官方微博的微博视频 ,1,0
下一部机器可能会在vivo NEX 3/华为Mate30 Pro/小米MIX里面选。别问我为什么不买iPhone 11 Pro Max和三星Galaxy Note10+ 5G，问就是这俩手机名字太长，所以我不喜欢 ,1,0
mate30[超话]Pro配置曝光：① 采用6.6~6.8英寸左右、分辨率1176x2400的AMOLED瀑布刘海屏；② 搭载麒麟990 5G处理器，支持华为Face ID 2.0，配备屏下指纹识别，拥有8GB+512GB存储规格，运行基于Android 10的EMUI10系统，没有物理音量按键，改用虚拟音量条设计，支持Nano SIM / Nano SD双插槽；③ 后置4000万像素IMX600传感器+4000万像素“widecine camera”+800万像素长焦镜头，前置3200万像素镜头+超宽相机+ToF镜头；④ 内置4500mAh电池，支持40W超级快充及27W超级无线快充,1,1
按照惯例爵士现在应该发一张月亮，趁mate30没发布，还能当一星期爵士 ,1,0
华为5G手机Mate30拍月亮大赛 华为P30Pro手机拍月亮确实牛逼，不止一点。华为P30 ,1,0
果然，知名新一曝光了小MIX新机的消息，并且表示1亿像素“秒杀”iPhone11想买iPhone11的朋友再等等吧！马上华为Mate30就来了 ,1,0
华为5G手机Mate30 华为手机又被爆料，这么多料，可以吃一顿火锅了。ISO最低125，最高819200光圈支持f1.6/2.7/32主摄IMX670…………不一定准确，看看就行华为Mate30 ,0,0
任正非有意出售华为5G技术 打遍天下无敌手，英雄不问出处。天下第一，没有对手。对手是竞争出来的。没有了对手，自己无法超越自己。来，我教你。来，我帮您们。来，与时俱进。华为5G手机Mate30 华为这一次，每一步都是正确的选择，每一步都是在进步 ,1,0
华为手机也太厉害了8！！！我也想换mate30 pro🥵 ,1,0
听说最近你们又不相信爱情了，觉得婚姻越来越不可一击？见过越多失败的婚姻，越明白爱情重在陪伴和经营。常常说，一屋两人三餐四季，其实感情就在一餐一饭间。想要抓牢爱情？和@欧派家居集团 一起周六下厨拯救爱，听说他们还送华为Mate30和iPhone11！快去周六下厨拯救爱围观！,0,1
iPhone 11 Pro Max有了夜景模式？那又怎么样？没有专业模式，Mate30发布会依旧被吊打。你信不信？ ,-1,0
苹果iPhone11ProMax夜间拍照样张出炉：碾压iPhoneX，从样张来看，iPhone X在这种低光条件下几乎无法拍清人物和环境的细节，而支持夜景模式的iPhone 11 Pro Max的照片则清晰地拍出了几乎所有细节，照片亮度也非常高，对于高光的抑制表现也非常不错。这才是华为mate30 pro真正的对手，期待DXO排行榜的更新。,0,1
重磅！华为Mate30真机照片来啦！      有网友拍得了一款疑似华为Mate30手机，感觉这个可信度高，而且长安数码君说和他摸过的一样，看来应该是差不多稳了。      从图中可以看出使用的是小刘海，曲面屏，屏占比比较高， 3D结构光应该还在，不知道再有没有什么黑科技呢？ ,1,0
华为Mate30，图一图二适当联系！     @余承东 余总，这可是你发的，轻点砍我！    我是相当期待华为Mate30系列的拍照和录像！ ,1,0
华为mate30 Pro主要参数完全确认，麒麟990 5G版+后置四摄+40W快充+瀑布屏，售价七千元左右，你会买吗？ ,0,0
华为Mate30 Pro参数全曝光：6.6英寸刘海屏幕。       麒麟990 5G3D结构光。                  屏幕指纹后置4000W+4000W+800W+tof四摄前置3200W镜头。       4500毫安电池40W有线快充 27W无线快充IP68防水防尘。            无实体音量键支持5G 网络 ,0,0
华为5G手机Mate30 什么样的华为手机是你的菜，中秋节不吃月饼，吃华为手机。好大的月亮🌙五月数码科技 ,1,0
ISO最低125，最高819200光圈支持f1.6/2.7/32主摄IMX670…………不一定准确，看看就行华为Mate30 ,0,0
触碰之间，能量即澎湃，9月19日•慕尼黑，与华为Mate30系列一起，感知强劲科技的魅力Rethinkpossibilities 华为手机的微博视频 ,1,0
网友：5500块选mate30还是iPhone11？ ,0,0
华为Mate30 发布了头条文章：《发布在即，华为Mate 30 Pro详细配置曝光》  发布在即，华为Mate 30 Pro详细配置曝光 ,1,0
iPhone 11的亮点，除了三摄相机，颜色或许是这代iPhone最让人期待的地方。创新乏力的苹果还会带给我们多少惊喜？  没有5G，丢了创新的iPhone 11和华为Mate30，该如何选？ ,0,0
华为mate30的价格会是多少啊？媳妇开恩说可以买好一些的手机我想试试看 ,0,0
【 新iPhone发布 后，华为Mate 30 Pro全配置曝光，网友：华为稳了】苹果这边刚发布了iPhone11，华为Mate30 的配置详单也被曝光，通过配置单可看出，华为Mate 30 Pro 不但采用了四摄镜头模组，而且还搭载了全球首颗集成5G的芯片，可以说iPhone11没有的，Mate 30 Pro都有，你打算买哪个呢？新iPhone摄像头被玩坏了  ,1,1
大咖云集，他们都在行动！2018年中国离婚率最高达63%，如何拯救中国高企的离婚率？由@欧派家居集团 发起的周六下厨拯救爱公益活动，获得了家居圈、媒体圈、创意圈、演艺圈众多大咖的共同支持！婚姻需要用心经营，一起行动，在一餐一饭中，保鲜爱情。听说晒照还可以赢华为Mate30大礼，快去周六下厨拯救爱围观~,0,1
华为mate30 5G智能手机将在9月19号在德国柏林全球首发。5G和后置摄头成为亮点，看这视频吧。科技潮玩超话  粉丝-金玉2011的微博视频 ,1,0
面对隔壁厂商老板每次都是参数型的大猛料，华为Mate30这隐晦的爆料已经让网友坐不住了 ,1,0
Mate30 Pro这飞流屏。啧啧啧。这感官。啧啧啧。和VIVO NEX3 就是一个刘海和升降的区别。据说屏幕的供应商是三星，就看这块屏幕的素质了。假如素质特别硬，感官通透，那么当你打开超广角拍摄，这就是握在手里的一块“玻璃”。在此，感谢小米提出全面屏的概念。让其他手机厂商有了进步的动力。也希望小米MIX4也能进化到“一整块玻璃”的程度！国产手机，一起加油！,0,1
华为mate30系列的配色选择：暖砂杏红海橙（国内红茶橙）水湍流金湖淡绿色亮黑色…… ,0,0
京东方宣布开启柔性OLED屏的减产计划，看来华为Mate30系列确定是用三星的屏幕了。之前华为P30系列用京东方被批评屏幕差，现在改用三星，对国产屏幕供应商的影响还是很大的。 ,0,0
